Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link
(JV2510005) Account Representative (Sales) - Samarinda,"PT Asuransi Bintang, Tbk",Samarinda,Full time,,"Pendidikan minimal S1 dengan IPK minimal 3.00; Diutamakan memiliki pengalaman sebagai Sales di industri Asuransi Umum; Penempatan: Samarinda; Memastikan tercapainya target penjualan individu sesuai segmen pasar  dan/atau Sumber Bisnis yang ditugaskan dan disepakati bersama sesuai dengan Daftar Target KPI Insentif, dengan cara memperoleh bisnis melalui nasabah baru (New Business) dan atau nasabah lama (Renewal Business) dan atau melalui diversifikasi produk dari nasabah tersebut; Mencatat segala aktivitas penjualan melalui tools yang disediakan, diantaranya SFA (Sales Force Automation); Melakukan kunjungan berkala serta komunikasi yang efektif dengan Pelanggan, dengan tujuan untuk menjaga loyalitas Pelanggan (Retetion of Customer) serta mengupayakan pertumbuhan jumlah pelanggan (Expansion of Customer). Termasuk dengan Jalur Distribusinya.; Menerima dan memastikan (menjadi perantara) penanganan keluhan pelanggan; Mengembangkan kompetensi diri yang sesuai dengan daftar kualifikasi (tabel Qualification/kompetensi); Pengisian FAP (Form Aplikasi Pelamar); Screening (administrasi, kesehatan, background check); Pencocokan Kompetensi (test psikologi, test kompetensi, interview, test lain yg diperlukan); Offering (penawaran)",https://id.jobstreet.com/id/job/88228904?type=standard&ref=search-standalone&origin=cardTitle
Senior Business Operations Associate Manager - Flight,PT Trinusa Travelindo,Jakarta Raya,Full time,,"Execute and perform operational processes related to service delivery, focusing on maintaining SLAs with high accuracy amidst growing volumes and demand.; Work with various teams (Product, Finance, Engineering, Marketing, and Market Management teams) to onboard a scalable system to serve our markets.; Onboard new partnerships and develop as well as implement Standard Operational Procedures across teams.; Troubleshoot and solve cases that arise in delivering our operational processes.; Turn data into actionable insights about our users to drive product decisions, explain trends across data sources, potential opportunities for growth or improvement, and data caveats for data analysis,; Analyze our processes and initiate changes and improvements to help scale our operations and enhance user experience.; Develop, refine, and maintain documentation of operational procedures and best practices to facilitate team knowledge sharing.; Navigate changes in product and tooling while being at the forefront of ensuring efficient service delivery.; Bachelor's degree in Computer Science and Computer Engineering, or other relevant fields (Mathematics, Electrical Engineering, IT, Chemistry, Physics, Engineering Science, STEM) from reputable universities with minimum GPA of 3.5/4.0.; 3 year or more of working experience.; Experience in the travel industry, other technology company, or global consulting field is a plus.; Excellent analytical skills and ability to interpret complex data to drive decision-making.; Strong project management skills, with the ability to manage multiple initiatives simultaneously and deliver results within deadlines.; Ability to collaborate effectively with cross-functional teams and stakeholders at all levels.; Excellent communication skill in English, both written and verbal, with the ability to present ideas and influence stakeholders effectively.; Ability to quickly learn and absorb new knowledge in the fast-changing and dynamic industry, and synthesize learnings into strategic growth levers that generate tangible business impacts.; Passion about helping our customers, natural curiosity, comfort in operating in ambiguity and creative solution building.",https://id.jobstreet.com/id/job/87398189?type=standard&ref=search-standalone&origin=cardTitle
Floor Leader,Locca Sea House,Kuta Selatan,Full time,,"Mencari kandidat untuk bekerja pada:Senin: Siang, SoreSelasa: Siang, SoreRabu: Siang, SoreKamis: Siang, SoreJum'at: Siang, SoreSabtu: Siang, SoreMinggu: Siang, Sore; Senin: Siang, Sore; Selasa: Siang, Sore; Rabu: Siang, Sore; Kamis: Siang, Sore; Jum'at: Siang, Sore; Sabtu: Siang, Sore; Minggu: Siang, Sore; Diperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi ini; Pelamar harus memiliki KTP; Gaji yang diinginkan: Rp4,000,000 per bulan; Posisi ini adalah perekrutan yang mendesak.; Memahami cara cara menghandel tamu; Bertanggung Jawab atas kelancaran jalannya oprational Floor; Dapat mendelegasikan, mengatur, mengarahkan dan bekerjasama dalam tim atau antar tim spt: Kitchen, Bar, Floor dan lainnya; Disipliin, ramah dan jujur; Berbahasa inggris; SOP dijalankan Tim Floor denga baik",https://id.jobstreet.com/id/job/86947339?type=standard&ref=search-standalone&origin=cardTitle
(JV2510003) Account Representative (Sales) - Makassar,"PT Asuransi Bintang, Tbk",Makassar,Full time,,"Pendidikan minimal S1 dengan IPK minimal 3.00; Penempatan: Makassar; Memastikan tercapainya target penjualan individu sesuai segmen pasar  dan/atau Sumber Bisnis yang ditugaskan dan disepakati bersama sesuai dengan Daftar Target KPI Insentif, dengan cara memperoleh bisnis melalui nasabah baru (New Business) dan atau nasabah lama (Renewal Business) dan atau melalui diversifikasi produk dari nasabah tersebut; Mencatat segala aktivitas penjualan melalui tools yang disediakan, diantaranya SFA (Sales Force Automation); Melakukan kunjungan berkala serta komunikasi yang efektif dengan Pelanggan, dengan tujuan untuk menjaga loyalitas Pelanggan (Retetion of Customer) serta mengupayakan pertumbuhan jumlah pelanggan (Expansion of Customer). Termasuk dengan Jalur Distribusinya.; Menerima dan memastikan (menjadi perantara) penanganan  keluhan pelanggan; Mengembangkan kompetensi diri yang sesuai dengan daftar kualifikasi (tabel Qualification/kompetensi); Pengisian FAP (Form Aplikasi Pelamar); Screening (administrasi, kesehatan, background check); Pencocokan Kompetensi (test psikologi, test kompetensi, interview, test lain yg diperlukan); Offering (penawaran)",https://id.jobstreet.com/id/job/87739502?type=standard&ref=search-standalone&origin=cardTitle
Beauty Advisor (Kalibata City),EUROMEDICA GROUP,Jakarta Selatan,Full time,,"Minimal SMU, Diploma, Sajana semua jurusan; Minimal 4 tahun pengalaman kerja di bidang terkait (kecantikan, fitness, make up); Mencari customer baru untuk melakukan treatment; Maintain, dan follow up customer dari berbagai networking yang tersedia; Melakukan proses konsultasi dan menjawab keluhan Customer; Mencapai target penjualan; Membuat laporan penjualan; Gaji pokok dan tunjangan yang kompetitif; Komisi sesuai hasil penjualan; Mendapatkan pelatihan soft dan hard skill; Potensi peningkatan karir",https://id.jobstreet.com/id/job/87978888?type=standard&ref=search-standalone&origin=cardTitle
TRANSLATION MANDARIN,PT XINLIAN TRAD INDONESIA,Tangerang,,Rp 10.000.000 – Rp 15.000.000 per month,"Menerjemahkan dokumen, presentasi, dan komunikasi lisan dari bahasa Mandarin ke Bahasa Indonesia dan sebaliknya dengan akurat dan tepat waktu.; Memastikan konsistensi dan keakuratan terjemahan untuk memenuhi standar kualitas perusahaan.; Berkoordinasi dengan tim internal dan mitra bisnis untuk memahami kebutuhan terjemahan dan memprioritaskan permintaan dengan tepat.; Memelihara dan meningkatkan keterampilan bahasa Mandarin melalui pembelajaran berkelanjutan.; Memberikan saran dan masukan untuk meningkatkan proses dan prosedur terjemahan.; Memiliki gelar sarjana atau yang setara.; Minimal 1 tahun pengalaman kerja sebagai penerjemah bahasa Mandarin-Indonesia.; Kemahiran tingkat lanjut dalam bahasa Mandarin dan Bahasa Indonesia, baik lisan maupun tertulis.; Memahami budaya dan terminologi bisnis.; Memiliki kemampuan komunikasi yang baik dan bekerja dengan tim.; Cermat, teliti, dan mampu bekerja di bawah tekanan.; Bersedia belajar dan mengembangkan keterampilan terjemahan yang terus berkembang.",https://id.jobstreet.com/id/job/88877738?type=standard&ref=search-standalone&origin=cardTitle
Agent Partner Amarthalink (Sales Akuisisi) - Takalar,PT Amartha Mikro Fintek (Jakarta),Takalar,Kontrak/Temporer,,"Melakukan akuisisi agen AmarthaLink sesuai target yang ditetapkan.; Mensosialisasikan dan mengedukasi calon agen mengenai manfaat serta mekanisme layanan AmarthaLink.; Menjalin dan menjaga hubungan baik dengan agen untuk memastikan kepuasan serta kelancaran operasional.; Memberikan pendampingan dan pelatihan terkait penggunaan sistem, produk, dan layanan.; Memantau transaksi serta kinerja agen guna memastikan aktivitas berjalan optimal.; Menganalisis potensi pasar dan menyusun strategi pengembangan agen di wilayah yang menjadi tanggung jawabnya.; Menyusun laporan berkala terkait aktivitas penjualan dan akuisisi agen.; Pendidikan minimal Diploma; Pengalaman minimal 6 bulan sebagai sales akuisisi di bank, BRI, telco, retail, atau FMCG; Menguasai area penempatan Memiliki kendaraan roda dua & SIM C aktif; Mampu menggunakan MS Excel / Google Sheet; Siap kerja lapangan dan ditempatkan diTAKALAR",https://id.jobstreet.com/id/job/85688537?type=standard&ref=search-standalone&origin=cardTitle
Business Manager (Kepala Cabang) - Pesisir Timur - Sumatera Barat,PT Amartha Mikro Fintek (Jakarta),Wonokromo,Kontrak/Temporer,,Memastikan seluruh KPI Cabang di lingkup Regionalnya dapat dicapai dengan baik; Memastikan operasional cabang di Areanya dapat berjalan melalui pemenuhan dan pengelolaan SDM; Memastikan ekspansi kawasan Kelola yang ditetapkan Amartha dapat berjalan dengan baik; Memastikan kualitas portfolio sesuai dengan tujuan Amartha dan nilai audit cabang sesuai dengan ekspekstasi management.; Menegakkan prinsip keterbukaan di cabang; Pendidikan terakhir minimum Diploma III; Memiliki pengalaman bertanggung jawab dalam mengurus cabang; Berpengalaman memimpin lebih dari 5-10 anggota tim; Memiliki pengalaman min 2 tahun di Micro Finance sebagai Business Manager / Leader (Lembaga Keuangan SistemGrameen Bank / Microfinance diutamakan); Dapat menyusun strategi Sales & Marketing sebagai paduan tim untuk mencapai target; Mempunyai Kendaraan Pribadi dan SIM C; Bersedia ditempatkan di Wilayah Kerja Amartha di Pesisir Timur; Gaji pokok + insentif; Mess Karyawan sesuai penempatan; Hari kerja Senin - Jumat; BPJS Kesehatan dan Ketenagakerjaan; Jenjang karir dan kesempatan menjadi karyawan tetap; Benefit masa penghargaan berupa emas; Benefit best performance umroh atau perjalanan ibadah untuk agama lainnya,https://id.jobstreet.com/id/job/86790805?type=standard&ref=search-standalone&origin=cardTitle
Team Leader (Supervisor Micro Lending) - Jiwan,PT Amartha Mikro Fintek (Jakarta),Madiun,Kontrak/Temporer,,"Melakukan monitoring terhadap tim marketing/business partner dalam hal kinerja dan pencapaian target; Melakukan market review dan menjalankan strategi untuk mencapai target yang ditetapkan; Bertanggung jawab atas proses bisnis dalam hal SOP, baik secara administrasi maupun di lapangan.; Bertanggung jawab atas portofolio cabang/point secara kualitas dan kuantitas; Bertanggung jawab atas soliditas tim dan mampu me-manage konflik internal tim atas dasar peraturan perusahaan.; Pendidikan terakhir minimum Diploma; Memiliki pengalaman bertanggung jawab dalam memimpin tim min 2th; Berpengalaman memimpin lebih dari 5-10 anggota tim; Memiliki pengalaman min 2 tahun di Micro Finance sebagai Manager (Lembaga Keuangan Sistem Grameen diutamakan); Dapat menyusun strategi sales & marketing sebagai paduan tim untuk mencapai target; Mempunyai motor dan SIM C; Disiplin Tinggi (berintegritas, jujur & transparan); Memiliki kekuatan komunikasi & berkolaborasi dengan tim; Memiliki semangat belajar yg tinggi terutama untuk menganalisa informasi dan data; Mudah beradaptasi pada perubahan dan berorientasi pada target; Mampu membangun budaya coaching untuk meningkatkan performa tim",https://id.jobstreet.com/id/job/88248442?type=standard&ref=search-standalone&origin=cardTitle
Team Leader (Business Manager) - Pati,PT Amartha Mikro Fintek (Jakarta),Pati,Kontrak/Temporer,,"Melakukan monitoring terhadap tim marketing/business partner dalam hal kinerja dan pencapaian target; Melakukan market review dan menjalankan strategi untuk mencapai target yang ditetapkan; Bertanggung jawab atas proses bisnis dalam hal SOP, baik secara administrasi maupun di lapangan.; Bertanggung jawab atas portofolio cabang/point secara kualitas dan kuantitas; Bertanggung jawab atas soliditas tim dan mampu me-manage konflik internal tim atas dasar peraturan perusahaan.; Pendidikan terakhir minimum Diploma; Memiliki pengalaman bertanggung jawab dalam memimpin tim min 2th; Berpengalaman memimpin lebih dari 5-10 anggota tim; Memiliki pengalaman min 2 tahun di Micro Finance sebagai Manager (Lembaga Keuangan Sistem Grameen diutamakan); Dapat menyusun strategi sales & marketing sebagai paduan tim untuk mencapai target; Mempunyai motor dan SIM C; Bersedia ditempatkan di seluruh wilayah Pati; Disiplin Tinggi (berintegritas, jujur & transparan); Memiliki kekuatan komunikasi & berkolaborasi dengan tim; Memiliki semangat belajar yg tinggi terutama untuk menganalisa informasi dan data; Mudah beradaptasi pada perubahan dan berorientasi pada target; Mampu membangun budaya coaching untuk meningkatkan performa tim",https://id.jobstreet.com/id/job/88248435?type=standard&ref=search-standalone&origin=cardTitle
