Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link
Host Live Streaming,PT THRIVEWAYS TRADING INDONESIA,Jakarta Utara,Full time,Rp 5.500.000 – Rp 6.000.000 per month,"Membawakan live streaming di platform seperti TikTok Live, Shopee Live, atau Instagram Live; Mempromosikan produk secara menarik dan komunikatif; Berinteraksi aktif dengan audiens (menjawab pertanyaan, membaca komentar, dll); Meningkatkan penjualan melalui live streaming; Membuat suasana live yang seru dan engaging; Berkoordinasi dengan tim marketing dan konten; Pria/Wanita, usia (20-30 tahun); Percaya diri di depan kamera; Komunikatif, ekspresif, dan memiliki public speaking yang baik; Berpenampilan menarik dan rapi; Berpengalaman sebagai host/live streamer (nilai tambah); Mengerti tren media sosial (TikTok, Shopee, dll); Bersedia bekerja dengan target; Fleksibel dalam jam kerja (termasuk malam/hari libur jika diperlukan); Gaji pokok; komisi penjualan; tunjangan kehadiran; Lingkungan kerja kreatif; Peluang berkembang di industri digital",https://id.jobstreet.com/id/job/91449967?type=standard&ref=search-standalone&origin=cardTitle
Team Leader Sales Area Jakarta,PT FCL INTERNASIONAL INDONESIA,Jakarta Raya,Kontrak/Temporer,,"Bertanggung jawab atas pencapaian target penjualan di area yang ditentukan.; Melakukan kunjungan rutin ke toko-tokoGT (General Trade)danMT (Modern Trade).; Menjaga hubungan baik dengan pemilik toko dan pihak retail modern.; Memonitor ketersediaan stok, display produk, dan aktivitas promosi di toko.; Mengelola dan membina tim Sales/Beauty Advisor di area.; Membuat laporan penjualan dan memberikan insight untuk pengembangan strategi area.; Pendidikan minimalSMA/sederajat.; Memiliki pengalaman minimal 1 tahun sebagai Sales di channelGT & MT.; Berpengalaman di industri beautymenjadi nilai tambah.; Komunikatif, cekatan, dan terbiasa bekerja dengan target.; Bersedia mobile dan melakukan perjalanan dinas sesuai area kerja.; Berdomisili sesuai area pilihan",https://id.jobstreet.com/id/job/91285739?type=standard&ref=search-standalone&origin=cardTitle
SALES REPRESENTATIVE Freight Forwarding (SEMARANG Office),PT King Freight Logistics Indonesia,Semarang,Full time,,"Pendidikan minimal D3/S1 Semua Jurusan; Pengalaman Sales 1 tahun di PerusahaanFreight Forwarder; Fresh Graduate are Welcome; Target Oriented; Memiliki kemampuan komunikasi, negosiasi dan penjualan yang kuat; Mencari Peluang dan mendapatkan customer, mengetahui kondisi market di luar dan mengetahui competitor; Mengelola aktivitas Penjualan sehari-hari; Mempersiapkan, memperbarui Penawaran; Menjaga hubungan baik dengan Semua Customer (Baru dan Lama); Mengunjungi Customer secara teratur; Berdiskusi dengan agen luar negeri juga; Menanggapi umpan balik dari Customer",https://id.jobstreet.com/id/job/91300339?type=standard&ref=search-standalone&origin=cardTitle
SALES EXECUTIVE - FREIGHT FORWARDING,PT SHOKA CHANDRA ARMADA,Jakarta Pusat,Full time,,"Pendidikan minimal SMA / D3 / S1 semua jurusan.; Memiliki pengalaman minimal1 tahun di perusahaan Freight Forwarding / Logistics; Fresh Graduate dipersilakan melamar; Memahami Incoterms (FOB, CIF, EXW, DDP, dll); Memiliki kemampuan komunikasi dan negosiasi yang baik; Target oriented & terbiasa bekerja dengan client export import.; Memiliki database customer menjadi nilai tambah; Menguasai Microsoft Office (Excel, Word, PowerPoint); Memiliki SIM A aktif menjadi nilai plus.; Mencari dan mengembangkan customer baru (Import / Export); Menawarkan layanan pengiriman (Export, Import, Domestik, Trucking, Warehousing, dll); Melakukan sales call, visit, dan presentasi ke customer; Membuat penawaran harga (quotation) & follow up hingga closing; Menjaga hubungan baik dengan existing customer; Berkoordinasi dengan tim operasional terkait shipment customer; Mencapai target penjualan yang telah ditentukan perusahaan; Membuat report aktivitas sales secara berkala; Gaji Pokok; Makan Siang Karyawan; Komisi Penjualan / Insentif; Kendaraan Kantor; BPJS Kesehatan & Ketenagakerjaan; Jenjang Karir",https://id.jobstreet.com/id/job/91164015?type=standard&ref=search-standalone&origin=cardTitle
Head of Area,PT Sari Murni Abadi,Samarinda,Full time,,"Pendidikan minimal D3 / S1 semua jurusan; Memiliki pengalaman sebagaiSales Supervisor Principal GT dan MTFMCG selama 5 tahun; Memahami area yang menjadi penempatan kerjanya; Mampu mengoperasikan Ms. Office (Word, Excel, PPT); Memiliki kemampuan leadership yang baik; Memiliki kemampuan komunikasi yang baik dan cekatan; Memiliki motivasi kerja yang tinggi dan daya tahan yang baik saat bekerja di bawah tekanan; Menyusun strategi tim penjualan yang menjadi area tanggung jawabnya; Menjaga service level pengiriman ke distributor dan outlet; Memastikan bawahan bekerja sesuai dengan target yang ditentukan; Menyelenggarakan promosi untuk meningkatkan penjualan dan untuk memperkenalkan produk baru; Mampu mengantisipasi dan mengatasi kendala-kendala yang dapat menghambat operasional penjualan secara team; Terbuka untuk posisi di area Samarinda, Denpasar, Pontianak, Banjarmasin, Mataram, Pekanbaru dan Semarang.",https://id.jobstreet.com/id/job/91237306?type=standard&ref=search-standalone&origin=cardTitle
Social Media Officer (FMCG Company),Pengiklan Anonim,Jakarta Barat,Full time,,,https://id.jobstreet.com/id/job/91179340?type=standard&ref=search-standalone&origin=cardTitle
Brand Activation (Supervisor & Manager),PT Arya Noble,Medan,Full time,,"Collecting and analyzing data from existing customers and clinics to plan marketing strategies, define customer criteria, and achieve desired customer/revenue growth.; Discussing with clinic leaders about desires, targets, and customer criteria to address gaps in the field.; Analyzing customer needs and formulating competitive and engaging taglines to enhance public awareness.; Developing marketing activity concepts and identifying target markets according to management guidance and market analysis results, ensuring alignment with management objectives.; Maintaining good relationships with various parties, both internal and external, to ensure smooth business operations.; Creating a timeline for marketing activity plans within a specified period, along with necessary materials (posters, videos, banners, etc.) for communication with the creative team.; Ensuring that the marketing budget aligns with the company’s budget.; Monitoring and evaluating the implementation of the marketing strategy plan and its reports to enhance the effectiveness of marketing activities.; Bachelor’s degree in Marketing Communication, Business Management, or a related field.; Minimum of 3-4 years of experience in the marketing field.; Relevant knowledge in the dermatologist industry.; Skills in Digital Marketing, Marketing Activation, and Market Research.",https://id.jobstreet.com/id/job/91344531?type=standard&ref=search-standalone&origin=cardTitle
HR Coordinator,Yayasan Rinjani Indah (Mandalika Intercultural School),Denpasar Selatan,Full time,,"Responsible for the end-to-end recruitment processes; Prepare and manage employee documentation (contracts, amendments, employee records, etc.); Oversee onboarding and offboarding processes, ensuring a smooth and positive employee experience; Maintain and update HR databases and employee records accurately; Support implementation of HR policies, procedures, and best practices; Coordinate employee engagement activities and welfare programs, including school events; Act as a point of contact for employee inquiries regarding HR policies, benefits, and procedures; Assist in performance management and employee development processes; Support compliance with labor laws and internal policies; Handle general HR administrative and coordination tasks; Bachelor’s degree in Psychology, Business Management, or a related field; Minimum2–3 years of experiencein HR roles; Fluent in English (spoken and written) is required; Experience working in theeducation sector is preferred; Good understanding of HR practices and Indonesian labor laws; Strong organizational skills and attention to detail; Ability to manage multiple tasks and work in a fast-paced environment; Proficient in Googleworkspace; High level of integrity and ability to handle confidential information; Strong interpersonal and communication skills; Proactive, adaptable, and solution-oriented mindset",https://id.jobstreet.com/id/job/91170740?type=standard&ref=search-standalone&origin=cardTitle
Pelaksana Bangunan,CV Sumber Alam perkasa,Surabaya,Full time,Rp 4.000.000 – Rp 5.000.000 per month,"Lulusan min. D3/S1Teknik Sipil(Wajib); Pria/Wanita, Usia max 35th; Paham dan dapat membaca gambar kerja dengan teliti; Jujur, Teliti, Tidak gampang bosan terhadap rutinitas; Mahir dalam Autocad, Excel, Sketchup; Bersedia ditempatkan di luar kota (Nilai Plus); Membuat dan melaksanakan BQ/RAB/Opnam Mandor (Wajib); Memperbaiki Gambar Kerja Apabila Diperlukan; Mengecek Kondisi Proyek; Bertanggung jawab terhadap pelaksaan proyek dan pemesanan bahan; Penempatan sehari-hari mayoritas di Proyek; Jam Kerja Weekdays, Pk 08.30-16.30; Jam Kerja Sabtu Pk. 08.30-12.00, Minggu Libur",https://id.jobstreet.com/id/job/91394789?type=standard&ref=search-standalone&origin=cardTitle
Production Executive,PT Forta Larese (Forta Group),Brebes,Full time,,"Mengawasi seluruh lini produksi upper sepatu, khususnya di area pemotongan (cutting) dan penjahitan (stitching).; Menerjemahkan rencana produksi (PPIC) menjadi jadwal kerja harian yang dieksekusi oleh supervisor dan operator.; Memantau ketersediaan material dan memastikan alur kerja (line balancing) berjalan lancar tanpa bottleneck.; Menganalisis laporan produksi harian, mengidentifikasi kendala di lapangan, dan memberikan solusi perbaikan secara cepat.; Memastikan seluruh operator bekerja sesuai dengan Standar Operasional Prosedur (SOP) dan mematuhi aturan Keselamatan dan Kesehatan Kerja (K3).; Pendidikan minimal D3/S1 dari semua jurusan (Teknik Industri lebih disukai).; Pengalaman minimal 3-5 tahun sebagai Production Supervisor/Executive di industri sepatu/alas kaki.; Sangat memahami teknis dan alur proses pembuatan upper sepatu (paham jenis material kulit/sintetis/mesh, teknik jahit, dan assembling).; Mampu memimpin tim dalam jumlah besar (ratusan operator).; Tegas, komunikatif, dan terbiasa bekerja dengan target ketat (sistem output/target harian).",https://id.jobstreet.com/id/job/91371212?type=standard&ref=search-standalone&origin=cardTitle
Truck Driver,PT Prasadha Pamunah Limbah Industri,Bekasi,Kontrak/Temporer,,,https://id.jobstreet.com/id/job/91408071?type=standard&ref=search-standalone&origin=cardTitle
Head of Operations & Systems,Pengiklan Anonim,Tangerang,Full time,Rp 15.000.000 – Rp 20.000.000 per month,"Act as the CEO’s right hand in executing strategic initiatives across multiple business units; Translate high-level direction into structured action plans with clear timelines and owners; Track progress and ensure deliverables are completed on time; Design and implement workflows usingGoogle Workspace (Docs, Sheets, Drive, Calendar)and Notion; Standardize reporting systems across departments (daily, weekly, monthly); Build dashboards and tracking tools for company-wide visibility; Enforce meeting structures, reporting cadence, and communication standards; Ensure compliance with company SOPs and document control systems; Follow up rigorously with team members and hold them accountable; Align teams across Sales, Operations, Finance, Procurement, and HR; Identify bottlenecks and drive resolution across departments; Act as a bridge between leadership and execution teams; Identify inefficiencies and propose system improvements; Drive a culture of structure, clarity, and accountability; Support the CEO in building a scalable organization; Bachelor’s degree in Business, Engineering, or related field; 3–7 years of experiencein consulting, operations, or project management roles; Strong proficiency inGoogle Workspace (especially Sheets & Docs); Experience insystem implementation, SOP development, and process design; Highly structured, detail-oriented, and execution-focused; Strong communication and stakeholder management skills; Comfortable working in a fast-paced, high-accountability environment; Experience in FMCG, distribution, or multi-entity businesses; Background in consulting (BCG, Bain, McKinsey-style thinking); Familiarity with Notion, ERP systems, or workflow automation tools; Direct exposure to CEO-level decision making; Opportunity to build and shape the operating system of a growing group; High ownership and steep learning curve; Competitive salary and performance-based incentives; You thrive in chaos but bring order; You are obsessive about structure, clarity, and follow-through; You are comfortable pushing senior team members to deliver; You want to build something meaningful, not just maintain the status quo; Those looking for a passive or purely administrative role; Individuals who avoid confrontation or accountability; Candidates who prefer unclear structures and flexible deadlines",https://id.jobstreet.com/id/job/91594615?type=standard&ref=search-standalone&origin=cardTitle
VIDEO EDITOR,PT Dbest Thanisa Grup,Jakarta Utara,Full time,Rp 4.500.000 – Rp 5.500.000 per month,,https://id.jobstreet.com/id/job/91356144?type=standard&ref=search-standalone&origin=cardTitle
Lab Technician,PT Pabrik Cat & Tinta Pacific (Pacific Paint),Tangerang,Full time,,"Melaksanakan pengujian terhadapwet sample produksesuai instruksi atasan/chemist dan prosedur kerja yang berlaku.; Melaksanakan pengujian terhadapdry sample produksesuai instruksi atasan/chemist.; Melakukan pengujianraw materialbaik untuk material baru maupun material alternatif.; Membantu prosesmixing atau pembuatan sampel produk catuntuk kebutuhan pengujian atau trial.; Melakukanaplikasi produkdan mendukung prosescolor matchingsesuai kebutuhan pengembangan produk.; Melakukansupervisi proses produksiterhadap formula baru, revisi formula, maupun penggunaan mesin baru sesuai instruksi atasan/chemist.; Membuat dan mengisilaporan hasil pengujian atau trialpada form yang telah disediakan.; Menjaga dan memonitorkebersihan area laboratoriumsesuai standar kerja.; Melakukanperawatan dan pengawasan terhadap peralatan laboratoriumagar selalu dalam kondisi baik dan siap digunakan.; Pendidikan minimalD3 Kimia / Analis Kimiaatau jurusan yang relevan.; Memiliki pengetahuan atau minat padaindustri manufacturing cat.; Terbuka untukfresh graduateatau pengalaman kerja maksimal 1 tahun di bidang terkait.; Memahami dasarpengujian laboratorium dan analisa material.; Memiliki kemampuan dalampengujian wet sample dan dry sample produk.; Memahami prosespengujian raw material.; Memiliki pemahaman dasar mengenaimixing/pembuatan produk cat.; Memiliki kemampuan dasar dalamaplikasi produk dan color matching.; Teliti, disiplin, dan mampu bekerja mengikutiinstruksi kerja laboratorium.; Mampu bekerjasecara tim maupun individudi lingkungan laboratorium.",https://id.jobstreet.com/id/job/91554185?type=standard&ref=search-standalone&origin=cardTitle
Progammer CNC,PT. Indonesia Quality Focus,Kabupaten Jepara,Full time,,"Menguasai software 2D/3D CAD/CAM untuk CNC nesting , dan diutamakan ZW3D untuk pembuatan dan optimasi program CNC Bubut; Mampu membuat, dan megoptimalkan program G-code / M-code untuk mesin CNC; Berpengalaman Minimal 3 Tahun mengoperasikan mesin CNC baik Nesting atau Bubut dengan kontrol NC Studio dan Syntax; Dapat membaca gambar teknik; Berpengalaman atau Background sebagai Drafter furniture DIUTAMAKAN.",https://id.jobstreet.com/id/job/91397994?type=standard&ref=search-standalone&origin=cardTitle
Tax Intern,OLX Indonesia,Jakarta Utara,Full time,,"Membantu tim Tax Compliance Operations dalam menyiapkan data kertas kerja perhitungan PPh 21 non-karyawan, PPh 23, 26, 4(2) dan PPN bulanan.; Membantu tim Tax Compliance Operations dalam menyiapkan data Daftar Nominatif Promosi dan Daftar Nominatif Entertainment untuk perhitungan PPh Badan Tahunan.; Membantu tim Tax Compliance Operations dalam menyiapkan data Prepaid PPh 23 untuk perhitungan PPh Badan Tahunan.; Membantu tim Tax Audit & Planning dalam menyiapkan archive data historical perpajakan tahun 2021-2024.; Sedang menempuh pendidikanD3/S1S1 jurusan Akuntansi, Administrasi Fiskal, atau Perpajakan.; Mahasiswa aktif tanpa jadwal kuliah offline.Mampu berkomitmen mengikuti masa magang penuh (3 bulan).; Bersedia bekerja full WFO di Sunter (Grha Sera).; Memiliki kemampuan Microsoft Excel yang baik.; Memahami aplikasi perpajakan seperti e-SPT Unifikasi dan e-Faktur/Web-Faktur.; Memiliki kemampuan komunikasi yang baik.",https://id.jobstreet.com/id/job/91310264?type=standard&ref=search-standalone&origin=cardTitle
Product Specialist,PT Tamara Overseas Corporindo,Palembang,Full time,Rp 3.000.000 – Rp 4.500.000 per month,"Promote and sell medical laboratory products and services to hospitals, clinics, and laboratories; Provide product knowledge and technical explanations to healthcare professionals; Build and maintain strong customer relationships to ensure satisfaction and repeat sales; Identify new business opportunities and support sales growth initiatives; Achieve individual and team sales targets; Holds aBachelor’s or Diploma degreeinBiomedical Science / Biomedical Engineering; Preferably hasexperience in Marketing of Medical Laboratory Equipment.; Isdomiciled in Palembang or surrounding areas; Hasexcellent communication and interpersonal skills; Isproficient in both verbal and written English; Canwork effectively under pressure; Iswilling to work outside regular office hours",https://id.jobstreet.com/id/job/91397191?type=standard&ref=search-standalone&origin=cardTitle
Admin Dealer Roda Dua,PT Cuan Selalu Kaya,Jakarta Raya,Full time,,"Melakukan proses administrasi delivery unit ke konsumen dan memastikan smeua dokumen lengkap sesuai SOP perusahaan.; Jujur, teliti, rajin, ulet, bertanggung jawab, tegas dan berdedikasi tinggi; Membantu dalam pembuatan laporan penjualan per bulan.; Memberikan dukungan administratif umum kepada tim penjualan dan operasional di saat ada event yang berlangsung.; Melakukan penagihan pelunasan kepada leasing.; Memproses pengajuan faktur, STNK, dan BPKB konsumen.; Melakukan filling dokumen perusahaan.; Memastikan kepatuhan terhadap prosedur dan peraturan perusahaan.; Minimal 1 tahun pengalaman kerja sebagai Admin Dealer.; Kemampuan numerik yang kuat dan ketelitian dalam penanganan data keuangan.; Mahir dalam menggunakan perangkat lunak akuntansi dan keuangan, seperti Microsoft Office, Google Spreadsheet, Accurate, dan lain sebagainya.; Pengetahuan tentang peraturan dan prosedur keuangan yang berlaku.; Kemampuan komunikasi yang baik, baik secara lisan maupun tertulis.; Di utamakan berpengalaman di posisi admin dealer kendaraan bermotor.; Berorientasi pada detail dan mampu bekerja dalam tim maupun mandiri.; Gaji kompetitif dan tunjangan menarik.; Peluang pengembangan karier yang jelas dan didukung.; Lingkungan kerja yang dinamis dan kolaboratif.",https://id.jobstreet.com/id/job/91472778?type=standard&ref=search-standalone&origin=cardTitle
Store Manager/Store Head/Store Leader/Store Consultant,Xiaomi Technology,Malang,Full time,,"Manage store operations and achieve sales targets; Lead the team and ensure excellent customer service; Oversee inventory and visual merchandising; Ensure SOP compliance; Analyze sales data and implement growth strategies; An experienced professional with a background in retail or a related industry, having held roles such as Store Manager, Store Leader, Store Supervisor, Operation Manager, etc; Ability to communicate in English",https://id.jobstreet.com/id/job/91360331?type=standard&ref=search-standalone&origin=cardTitle
Sales Supervisor Pabrik Cat,PT Tritunggal Delta Sejahtera (TDSpaint),Banten,Full time,,"Pengalaman Sales Supervisor minimal 5 tahun produk cat/bahan bangunan(wajib); Mempunyai Database Distributor - distributor produk cat /bahan bangunan (wajib); Diutamakan yang sudah mengerti dalam bidang penjual produk cat dan produk bahan bangunan kepada distributor/agen; Mempunyai sim kendaraan mobil dan motor; Pengalaman supply project dan punya database kontraktor/developer (optional); Penampilan rapi; Mampu berkomunikasi dengan lancar; Domisili jabodetabek (optional); Melakukan penjualan kepada distributor - distributor produk cat / bahan bangunan.; Membangun dan memelihara hubungan dengan pelanggan kunci dan berpotensi, serta menangani keluhan dan pertanyaan pelanggan.; Membuat strategi pemasaran, strategi penjualan , strategi promosi, menyusun harga dan menciptakan market demand untuk produk TDS.; Menganalisa market dan kompetitor, mengidentifikasi tren dan peluang.; Membuat promosi dan campaign.; Menanggapi keluhan/complain dari langganan serta mencarikan solusi.",https://id.jobstreet.com/id/job/91532913?type=standard&ref=search-standalone&origin=cardTitle
Relationship Officer BCA Finance - Bengkulu,PT BCA Finance,Bengkulu,Kontrak/Temporer,,"Memasarkan produk serta memperluas pasar atau jaringan BCA Finance; Menjalin relasi dan hubungan baik dengan rekanan yang berkaitan dengan BCA Finance; Melakukan survey dan analisa data kelayakan konsumen; Membantu memenuhi target penjualan dari BCA Finance; Pendidikan D3/D4/S1 semua jurusan; IPK minimal 2.50; Menyukai pekerjaan di lapangan; Memiliki SIM C dan sepeda motor pribadi; Berdomisili di areaBengkuludan sekitarnya; Penempatan di BCA Finance CabangBengkuluBCA Finance tunduk pada ketentuan UU Nomor 27 Tahun 2022 tentang Perlindungan Data Pribadi berikut aturan turunan serta perubahan-perubahannya dari waktu ke waktu. Saya menyetujui data-data saya digunakan, diverifikasi, dikelola dan ditatausahakan untuk tujuan perekrutan di PT BCA Finance.",https://id.jobstreet.com/id/job/91386347?type=standard&ref=search-standalone&origin=cardTitle
Shop Support - Stock Admin,ANGIN DINGIN UTARA,Kuta Utara,Kontrak/Temporer,,"Menyiapkan dan mengatur produk yang akan dikirim ke toko setiap hari.; Menerima barang retur dari toko dan memprosesnya di dalam sistem, termasuk melakukan penanganan yang diperlukan sesuai prosedur.; Memperbarui harga produk dan kategori produk di dalam sistem apabila diperlukan.; Berkomunikasi dengan SPG terkait kebutuhan toko dan ketersediaan stok.; Melakukan inventarisasi / stock opname setiap bulan.",https://id.jobstreet.com/id/job/91407210?type=standard&ref=search-standalone&origin=cardTitle
Captain Store,PT Chateraise Gobel Indonesia,Jakarta Raya,Full time,,"Pendidikan minimal tingkat SMA/K; Pengalaman minimal 2 tahun di F&B dan Retail; Paham pengelolaan inventory, dapat membuat laporan dan menggunakan komputer, cepat beradaptasi, interaktif, bisa bekerjasama dalam tim, inisiatif yang tinggi dan komunikasi yang baik.; Penempatan kerja :Area Jabodetabek, Bandung, Karawang, Cikarang (disesuaikan domisili); Memastikan staff dibawahnya menjalankan operasional sesuai dengan standart; Merangkul dan memanage staffnya; Memastikan semua team melakukan service ke customer dengan baik.; Mengidentifikasi kebutuhan pelanggan dan proatktif melakuan response terhadap kebutuhan pelanggan.; Dapat di delegasikan pekerjaan oleh atasan; Mampu mengevaluasi staff tentang standart store; Membangun kerjasama yang baik dengan setiap bagian; Memastikan staff upselling product ke customer",https://id.jobstreet.com/id/job/91483394?type=standard&ref=search-standalone&origin=cardTitle
Retail Sales Representatif (Jakarta),PT Rusli Vinilon Sakti,Jakarta Raya,Full time,,"Berperan sebagai representasi area yang menjadi tanggung jawabnya.; Melakukan kunjungan serta pemantauan ke agen-agen penjualan di area.; Memastikan agar target penjualan pada area cakupannya dapat tercapai dengan baik.; Melakukan analisa terhadap masalah dan pemecahannya, terkait dengan pencapaian target penjualan.; Pendidikan minimal SMA sederajat.; Lebih disukai kandidat yang memiliki pengalamanmin 2 tahundalam menangani penjualan dengansistem retailing traditionalmarket, khususnya di bidangbahan bangunan.; Terbiasa bekerja dengan target dan memiliki mobilitas yang tinggi.; Komunikatif, jujur, dan memiliki motivasi bekerja yang tinggi dan bisa belajar dengan cepat.; Memiliki SIM C dan kendaraan pribadi (motor).; Lebih diutamakan kandidat yang berdomisili di areaJabodetabek",https://id.jobstreet.com/id/job/91339739?type=standard&ref=search-standalone&origin=cardTitle
Sales,Ika Raya Sentausa,Jawa Timur,Full time,,"Bisnis Stabil & Tahan Krisis - Bergerak di industri makanan kebutuhan sehari-hari (bumbu masak, kecap, saus, tepung), dengan permintaan pasar yang konsisten.; Karier Jelas & Berkembang - Ika Raya Sentosa menyediakan jalur karier terstruktur berbasis kinerja.; Kompensasi & Insentif Menarik - Gaji kompetitif disertai insentif pencapaian target.; Produk Dibutuhkan Pasar Luas - Target market horeka, toko sembako, dan kelontong.; Memasarkan dan menjual produk serta mencapai target penjualan; Menjalin relasi yang baik dengan pelanggan; Pendidikan minimum SMA / SMK semua jurusan; Terbuka untuk lulusan baru atau belum memiliki pengalaman di bidang Sales; Memiliki SIM C aktif; Memilikiselling skillsyang baik, cekatan dan mampu bekerja dalam target; Penempatan Malang / Jember / Madiun / Gresik (penempatan luar Malang bersedia mengikuti pelatihan di Malang, Jawa Timur)",https://id.jobstreet.com/id/job/91337110?type=standard&ref=search-standalone&origin=cardTitle
Marketing,PT. MULTI KARUNIA NUSANTARA,Surabaya,Full time,Rp4.000.000 – Rp5.500.000 per month,"Minimal lulusan S1; Diutamakan yang memiliki pengalaman dibidang sales marketing 1th; Fresh graduated are welcome; Mampu menguasai Ms. Word, Excel, PPT, Website (membuat website & ads); Terbiasa menggunakan sosial media dan e-commerce (Instagram, Tiktok, Facebook, Tokopedia, Shopee, dll); Mampu bekerja dalam tekanan dan target; Mampu bekerjasama dalam team; Cekatan, jujur, berinisiatif, terorganisir, kreatif, & ringan tangan; Sanggup tugas luar kota; Memiliki kendaraan pribadi; Penempatan Surabaya; Kreatif; Fasih berbahasa inggirs; Insentif",https://id.jobstreet.com/id/job/91225310?type=standard&ref=search-standalone&origin=cardTitle
Operation Head,PT Mitra Pinasthika Mustika Rent (MPM Rent),Semarang,Full time,,"Memimpin dan mengawasi semua aktivitas operasional, termasuk manajemen armada, pelayanan after sales pada pelanggan, dan manajemen budget; Memantau dan mengoptimalkan proses internal untuk meningkatkan efisiensi dan produktivitas; Mengembangkan dan menerapkan strategi untuk meningkatkan kepuasan pelanggan dan memaksimalkan pangsa pasar; Membangun dan memelihara hubungan dengan pemangku kepentingan, termasuk mitra bisnis dan pemasok; Menganalisis data kinerja dan membuat rekomendasi untuk perbaikan berkelanjutan; Mengelola tim operasional, mengarahkan, dan mengembangkan bakat karyawan; Pendidikan minimal D3 jurusan Teknik Otomotif, Teknik Mesin, atau yang berkaitan; Memiliki pengalaman minimal 5 tahun pengalaman dalam peran manajerial di industri sewa kendaraan atau logistik; Memiliki pemahaman mendalam tentang proses dan sistem operasional dalam industri otomotif; Memiliki pengetahuan tentang tren industri dan teknologi otomotif terkini; Memiliki kemampuan leadership yang baik; Keterampilan analitis yang kuat dan kemampuan untuk mengambil keputusan berbasis data",https://id.jobstreet.com/id/job/91265757?type=standard&ref=search-standalone&origin=cardTitle
